组别,排名,球队,胜,平,负,进球,失球,净胜球,积分
A,1,Free,2,0,0,4,0,4,6
A,2,OK,1,0,1,1,1,0,3
A,3,Cooper,0,0,2,0,4,-4,0
B,1,三个不知道,2,0,0,7,4,3,6
B,2,WARRIORS,1,0,1,16,4,12,3
B,3,雄鹰,0,0,2,1,16,-15,0
C,1,石榴熟了,2,0,0,9,0,9,6
C,2,世贤,1,0,1,3,2,1,3
C,3,西野联,0,0,2,0,10,-10,-2
D,1,ChemMystery,2,0,0,3,0,3,6
D,2,GUESS,1,0,1,5,1,4,2
D,3,柠檬侠,0,0,2,0,7,-7,0
E,1,PreviousONE,2,0,0,8,2,6,6
E,2,YES,1,0,1,2,6,-4,3
E,3,002,0,0,2,1,3,-2,0
F,1,kickers,2,0,0,4,1,3,6
F,2,销声客,1,0,1,2,2,0,3
F,3,NextONE,0,0,2,2,5,-3,0
G,1,Soul,2,1,0,10,2,8,7
G,2,稻香村,2,1,0,5,2,3,7
G,3,巴佩说的队,1,0,2,3,5,-2,3
G,4,NanoFC,0,0,3,2,11,-9,0
