gameID,time,team1,team2,scores,place
B1,2023/4/9,OK,Cooper,1:0,东区南场
B2,2023/3/28,雄鹰,WARRIORS,0:13,东区北场
B3,2023/3/29,西野联,石榴熟了,0:7,西区南场
B4,2023/3/29,ChemMystery,柠檬侠,2:0,东区南场
B5,2023/3/30,PreviousONE,002,2:1,东区南场
B6,2023/3/30,销声客,NextONE,2:1,东区北场
B7,2023/3/29,Soul,NanoFC,5:1,高新区
B8,2023/3/30,稻香村,巴佩说的队,1:0,高新区
B9,2023/4/4,Cooper,Free,0:3,西区南场
B10,2023/4/4,WARRIORS,三个不知道,3:4,东区南场
B11,2023/4/5,石榴熟了,世贤,2:0,东区南场
B12,2023/4/4,柠檬侠,GUESS,0:5,东区北场
B13,2023/4/6,002,YES,0:1,东区南场
B14,2023/4/6,NextONE,kickers,1:3,西区北场
B15,2023/4/7,Soul,稻香村,1:1,高新区
B16,2023/4/5,NanoFC,巴佩说的队,0:3,高新区
B17,2023/4/11,OK,Free,0:1,西区南场
B18,2023/4/13,雄鹰,三个不知道,1:3,东区南场
B19,2023/4/14,西野联,世贤,0:3,西区南场
B20,2023/4/26,ChemMystery,GUESS,1:0,东区北场
B21,2023/4/19,PreviousONE,YES,6:1,西区南场
B22,2023/4/27,销声客,kickers,0:1,东区北场
B23,2023/4/27,Soul,巴佩说的队,4:0,高新区
B24,2023/4/24,NanoFC,稻香村,1:3,高新区
B25,2023/5/9,PreviousONE,世贤,5:0,西区
B26,2023/5/9,ChemMystery,OK,10:0,东区
B27,2023/5/9,石榴熟了,YES,6:0,东区
B28,2023/5/10,三个不知道,巴佩说的队,3:1,东区
B29,2023/5/10,kickers,GUESS,0:2,西区
B30,2023/5/11,稻香村,销声客,2:1,西区
B31,2023/5/11,Free,WARRIORS,0:4,东区
B32,2023/5/17,PreviousONE,ChemMystery,0:4,西区
B33,2023/5/16,石榴熟了,三个不知道,2:1(判3:0),东区
B34,2023/5/19,GUESS,稻香村,1:0,高新区
B35,2023/5/19,WARRIORS,Soul,1:0,高新区
B36,2023/5/30,ChemMystery,石榴熟了,0:0(PK3:1),东区
B37,2023/5/30,GUESS,WARRIORS,1:2,西区
B38,2023/6/7,ChemMystery,WARRIORS,3:3(PK4:2),东区
