排名,球员,球队,进球数
1,依沙克,石榴熟了,11
2,吴东润,PreviousONE,9
3,Elie,WARRIORS,7
4,杨学刚,Soul,5
5,何阳,ChemMystery,5
6,Adil,WARRIORS,5
7,罗喆,GUESS,5
8,沈泽昊,ChemMystery,5
9,宋中华,三个不知道,4
10,章浩,稻香村,4
11,Alrayah,WARRIORS,3
12,谢旭庭,Free,3
13,戴宗良,三个不知道,3
14,Dafaalla,WARRIORS,3
15,Blackhorse,WARRIORS,2
16,毕润江,kickers,2
17,甘鲁斌,巴佩说的队,2
18,牧承庆,Soul,2
19,陈子张,销声客,2
20,刘晓猛,三个不知道,2
21,叶尔那尔,GUESS,2
22,吴宇恩,ChemMystery,2
23,Sahaza,WARRIORS,2
24,Vincent,WARRIORS,2
25,吴峰,ChemMystery,2
26,李世轩,ChemMystery,2
27,Sam,WARRIORS,1
28,阿力木江,石榴熟了,1
29,麦尔丹,石榴熟了,1
30,库德热提,石榴熟了,1
31,何涛,Soul,1
32,杨茗喆,Soul,1
33,王小璞,销声客,1
34,王鑫,稻香村,1
35,陈纳川,002,1
36,金志扬,Free,1
37,张博轩,GUESS,1
38,黄印荣,NextONE,1
39,刘泽芃,YES,1
40,张钦汉,kickers,1
41,金鑫,巴佩说的队,1
42,叶益辰,OK,1
43,施理瀚,雄鹰,1
44,汪越,三个不知道,1
45,李汶桓,kickers,1
46,刘锐,NanoFC,1
47,彭博,YES,1
48,王锐锋,PreviousONE,1
49,高源,Soul,1
50,赛力达尔,石榴熟了,1
51,叶尔森,石榴熟了,1
52,周智宇,PreviousONE,1
53,汤梅俭,ChemMystery,1
54,陆毅,ChemMystery,1
55,林国安,ChemMystery,1
56,许智斌,ChemMystery,1
57,沈志斌,三个不知道,1
58,Justin,WARRIORS,1
59,王毅博,稻香村,1
60,邱大为,GUESS,1
61,韩枫,NextONE,1
62,徐式芃,稻香村,1
63,肖泽宇,巴佩说的队,1
