gameID,time,Gtype,team1,team2,scores,place
G1,2022/9/24 1200,冠军杯,地空,合肥研究院,3:6,西区
G2,2022/9/24 1400,冠军杯,火速,化院,0:8,东区
G3,2022/9/24 1400,冠军杯,工院,生院,6:0,西区
G4,2022/9/25 1200,冠军杯,附医,少院,4:1,东区
G5,2022/9/25 1200,冠军杯,管数,信院,0:1,西区
G6,2022/10/5 1000,冠军杯,管数,少院,4:0,东区
G7,2022/10/5 1200,冠军杯,物院,化院,0:5,东区
G8,2022/10/7 1000,冠军杯,地空,信院,2:2,西区
G9,2023/4/22 1200,冠军杯,火速,合肥研究院,1:1,西区
G10,2022/10/7 1200,冠军杯,工院,附医,0:0,东区
G11,2023/3/11 1200,冠军杯,工院,管数,4:2,西区
G12,N/A,冠军杯,生院,附医,0:3,N/A
G13,2022/11/26 1000,冠军杯,地空,少院,4:1,东区
G14,2023/3/12 1000,冠军杯,火速,信院,0:5,西区
G15,2023/3/11 1000,冠军杯,物院,合肥研究院,0:0,西区
G16,2022/11/20 1000,冠军杯,工院,地空,5:1,西区
G17,2022/11/20 1200,冠军杯,生院,管数,2:3,东区
G18,2022/11/19 1200,冠军杯,火速,少院,3:1,东区
G19,2022/11/20 1200,冠军杯,物院,信院,1:1,西区
G20,2023/5/20 1000,冠军杯,化院,合肥研究院,2:0,东区
G21,2023/3/18 1200,冠军杯,工院,火速,5:0,西区
G22,2023/3/19 1200,冠军杯,生院,地空,1:13,西区
G23,2023/3/18 1200,冠军杯,附医,管数,1:0,东区
G24,2023/3/19 1200,冠军杯,物院,少院,0:0,东区
G25,2023/3/19 1000,冠军杯,化院,信院,5:1,东区
G26,2023/3/25 1000,冠军杯,工院,物院,1:0,西区
G27,2023/3/26 1000,冠军杯,生院,火速,3:0,西区
G28,2023/3/25 1200,冠军杯,附医,地空,4:1,东区
G29,2023/3/26 1200,冠军杯,化院,少院,7:0,东区
G30,2023/3/26 1200,冠军杯,合肥研究院,信院,3:1,西区
G31,2023/4/1 1000,冠军杯,工院,化院,1:3(*判3:0),西区
G32,2023/4/2 1000,冠军杯,生院,物院,1:4,东区
G33,2023/4/2 1200,冠军杯,附医,火速,4:0,东区
G34,2023/4/1 1200,冠军杯,管数,地空,0:4,东区
G35,2023/4/2 1200,冠军杯,合肥研究院,少院,3:1,西区
G36,2023/4/9 1200,冠军杯,工院,合肥研究院,1:3,西区
G37,N/A,冠军杯,生院,化院,0:3,N/A
G38,2023/4/9 1200,冠军杯,附医,物院,2:2,东区
G39,2023/4/8 1200,冠军杯,管数,火速,4:0,西区
G40,2023/4/8 1000,冠军杯,信院,少院,3:0,西区
G41,2023/4/16 1200,冠军杯,工院,信院,1:0,西区
G42,2023/4/16 1200,冠军杯,生院,合肥研究院,1:4,东区
G43,2023/4/15 1000,冠军杯,附医,化院,1:0,东区
G44,2023/4/15 1200,冠军杯,管数,物院,2:2,东区
G45,N/A,冠军杯,地空,火速,3:0,N/A
